mid,use_coupon_percentage
4,0.71
5,0.11
13,0.33
14,0.10
15,0.14
17,0.05
18,0.06
19,0.07
20,0.04
21,0.14
25,0.16
32,0.10
33,0.25
35,0.01
36,0.30
40,0.11
32809,0.07
42,0.09
32813,1.00
32814,0.20
48,0.09
50,0.28
55,0.11
58,0.10
61,0.25
62,0.25
73,0.25
74,0.27
75,0.22
76,0.02
77,0.33
79,0.14
81,0.06
82,0.14
84,0.50
85,0.38
86,0.28
87,0.01
88,0.25
92,0.25
93,0.17
94,0.14
96,0.04
100,0.50
105,0.08
107,0.38
109,0.04
110,0.12
113,0.06
122,0.08
125,0.12
128,0.25
129,0.33
132,0.06
133,0.33
139,0.20
140,0.33
143,0.17
32912,0.18
146,0.19
150,0.06
152,0.33
157,0.16
159,0.05
160,0.40
163,0.11
165,0.10
171,0.15
173,0.25
175,0.11
176,0.60
178,0.04
179,0.07
183,1.00
187,0.09
194,0.20
196,0.13
32801,0.01
200,0.67
201,0.06
207,0.03
208,0.05
209,0.03
210,0.09
211,0.03
212,0.19
216,1.00
32804,1.00
218,0.12
219,0.08
221,0.75
222,0.30
223,0.33
229,0.08
33002,0.09
235,0.10
33007,1.00
33011,0.24
246,0.25
251,0.20
255,0.05
259,0.12
262,0.11
266,0.09
269,0.50
273,0.05
277,1.00
278,1.00
281,0.06
285,0.07
286,0.03
288,0.01
289,0.22
299,0.14
303,0.23
304,0.56
307,0.09
314,0.02
316,0.50
317,0.59
324,0.44
328,0.18
330,0.22
334,0.33
336,0.50
339,0.33
33109,0.25
342,0.11
343,0.06
346,0.30
347,0.04
350,0.46
351,0.49
355,0.05
357,0.33
359,0.17
375,0.52
380,0.20
381,1.00
382,0.23
384,0.21
386,0.15
388,0.08
389,0.23
390,0.33
391,0.09
392,0.33
395,0.16
397,0.17
398,0.03
399,0.67
400,0.14
407,0.67
409,0.05
410,0.04
411,0.11
414,0.50
416,0.18
419,0.50
420,0.07
422,0.33
423,0.38
431,0.07
433,0.40
434,0.08
435,0.03
441,0.46
442,0.18
5535,0.16
33214,0.50
447,0.02
449,0.40
450,0.01
451,0.04
453,0.11
456,0.14
457,0.12
459,0.50
463,0.10
464,0.11
471,0.05
477,0.13
478,0.02
483,0.06
5542,0.50
490,0.23
492,0.08
495,0.03
496,0.12
503,0.12
504,0.12
508,0.19
512,0.37
514,0.03
517,0.69
519,0.22
523,0.40
524,0.03
531,0.12
33304,0.67
539,0.06
540,0.11
33312,0.50
545,0.29
547,0.20
550,0.29
553,0.25
555,0.08
560,0.12
561,0.03
564,0.11
567,0.18
570,0.09
574,0.25
576,0.02
582,0.08
589,0.18
592,0.29
599,0.13
600,0.04
602,0.22
604,0.09
605,0.33
607,0.43
611,0.16
615,0.06
616,0.10
618,0.11
619,0.06
620,0.02
626,0.07
628,0.15
629,0.00
632,0.25
33402,0.33
636,0.20
637,0.08
638,0.03
33407,0.02
33408,0.80
33409,0.15
642,0.62
646,0.38
647,0.33
648,0.12
650,0.14
651,0.22
653,0.25
654,0.17
656,0.08
664,0.10
665,0.06
670,0.27
672,0.33
673,0.17
674,0.08
675,0.75
680,0.14
683,0.02
685,0.45
686,0.17
687,0.11
697,0.14
698,0.44
699,0.02
702,0.20
705,0.33
707,0.08
709,0.03
711,0.06
714,0.50
715,0.14
716,1.00
718,0.58
721,0.14
723,0.03
724,0.26
729,0.14
733,0.50
734,0.16
735,0.25
736,0.20
739,0.14
741,0.05
742,0.18
743,0.12
744,0.01
745,0.14
33514,0.03
747,0.12
748,0.43
752,0.25
755,0.04
760,0.04
764,0.06
768,0.88
772,0.09
775,0.09
776,0.67
777,0.20
779,0.06
780,0.24
782,0.20
788,0.15
792,0.12
793,0.50
796,0.10
797,0.17
798,0.04
800,0.11
803,0.03
805,1.00
806,0.23
807,0.50
809,0.03
810,0.20
814,0.05
819,0.11
822,0.15
823,0.86
824,0.06
827,0.67
33600,0.15
833,0.03
834,0.60
32907,0.10
33606,0.22
840,0.08
841,1.00
33611,0.50
33614,1.00
33615,0.87
850,0.20
853,0.33
857,0.38
859,0.17
861,0.31
866,0.22
869,0.03
874,0.50
876,0.02
877,0.02
880,0.33
883,0.02
889,0.12
890,0.17
891,0.50
892,0.02
899,1.00
902,0.50
904,0.16
909,0.20
913,0.23
915,0.01
924,0.12
926,0.08
931,0.41
33701,0.15
934,0.62
33704,0.00
937,0.43
939,0.17
941,0.05
944,0.40
945,0.17
947,0.17
951,0.03
952,0.08
958,0.06
959,0.07
962,0.33
963,0.36
966,0.40
969,0.45
970,0.16
973,0.17
974,0.03
977,0.50
979,0.46
984,0.06
986,0.10
989,0.14
991,0.12
994,0.09
995,0.50
996,0.21
997,0.25
998,0.14
1001,0.42
1004,0.01
1007,0.25
1011,0.04
1013,0.07
1015,0.04
1016,0.06
1018,0.08
1022,1.00
1023,0.24
38400,0.14
1028,0.33
1029,0.25
1031,0.20
33800,0.47
1035,0.02
33804,0.19
1037,0.11
33806,0.86
33807,0.24
1041,0.03
33812,0.15
1050,0.17
1052,0.12
1057,0.10
1061,0.07
1065,0.04
38407,0.29
1071,0.10
1072,0.07
1073,0.01
1075,0.22
1076,0.25
1080,0.01
1082,0.14
1087,0.14
1089,0.14
1091,0.12
1095,0.27
1096,0.06
38412,0.50
1112,0.20
1114,0.25
1115,0.14
1118,0.07
1120,1.00
1123,0.29
1125,0.09
1126,0.22
1127,0.03
1131,0.75
1132,0.67
33903,0.15
1136,0.22
33907,0.01
1141,0.08
33914,1.00
1148,0.06
1153,0.10
1157,0.08
1159,0.03
1160,0.23
1161,0.17
1163,0.20
1168,0.03
1169,0.05
1175,0.20
1182,0.13
1183,0.08
1185,0.56
1187,0.06
1188,0.40
1191,0.02
1193,0.21
1194,0.11
1197,0.18
1200,0.25
1210,0.14
1213,0.10
1216,0.24
1219,0.40
1221,0.02
1226,0.17
34000,1.00
34002,0.15
1235,0.25
1238,0.50
7679,0.19
1240,0.17
34009,0.17
1242,0.06
1243,0.03
1244,0.01
1245,0.25
1246,0.33
1253,0.27
1256,0.06
1264,0.34
1265,0.17
1266,0.05
1268,0.25
1270,0.20
1274,0.14
1279,0.13
1280,0.08
1282,0.12
1284,0.11
1286,0.22
1287,0.11
1288,0.24
1290,0.17
1292,0.17
1294,0.50
1296,0.40
1297,0.33
1298,0.10
1300,0.12
1301,0.36
1303,1.00
1307,0.17
1309,0.04
1310,0.08
1315,0.20
1317,0.07
1318,0.10
1320,0.14
1322,0.06
1326,1.00
1334,0.17
1336,0.03
1338,0.40
34107,0.31
1344,0.25
34115,1.00
1351,0.50
1353,0.07
1355,0.33
1356,0.18
1360,0.17
1361,0.47
1363,0.08
1366,0.07
1375,0.14
1379,0.17
1380,0.50
1382,0.14
1383,0.33
1384,0.33
1386,0.17
1389,0.07
1390,0.08
1398,0.09
1403,0.02
1407,0.67
1412,0.11
1413,0.05
1414,0.20
1422,0.45
1430,0.02
34200,0.26
1433,0.02
1434,0.61
239,0.07
34206,1.00
34207,0.26
1440,0.15
1442,0.08
1443,0.05
34212,0.11
34213,0.09
1447,0.14
1448,0.05
1453,0.05
1457,0.09
1459,0.29
1461,0.12
1464,0.40
1468,0.33
1469,0.02
1472,0.07
1474,0.33
1476,0.05
1477,0.25
1481,0.17
1483,0.33
1486,0.20
1487,0.07
1489,0.17
1491,0.02
1493,0.18
1495,0.05
1497,0.03
1498,0.05
1511,0.25
1513,0.11
1514,0.03
1515,0.20
1520,0.12
1522,0.11
1526,0.04
1528,0.05
1529,0.27
1530,0.07
1531,0.33
1532,0.17
34301,0.67
34302,0.61
1536,0.25
34305,1.00
34306,0.18
34307,0.64
1541,0.30
1542,0.12
1543,0.14
1544,0.24
34313,0.01
1546,0.67
1553,0.03
1560,0.01
1564,1.00
1565,0.17
1568,0.67
1569,0.00
1573,0.33
1576,0.16
1578,0.42
1579,0.07
1581,0.80
1583,0.43
1585,0.21
1588,0.07
1595,0.17
1597,0.29
1599,0.33
1601,0.15
1605,0.15
1606,0.03
1607,0.29
1610,0.14
1613,0.04
1614,0.78
1616,0.35
1618,0.17
1620,0.05
1623,0.12
1625,0.14
1626,0.17
1627,0.05
1631,0.12
1636,0.03
1637,0.02
1638,0.10
34407,0.03
34408,0.94
34409,0.01
1642,0.17
1644,0.16
1645,0.25
1646,0.12
1647,0.07
1648,0.16
1650,0.03
1653,0.02
1654,0.25
1655,0.04
1656,0.02
1660,0.14
1662,0.08
1663,0.06
1672,0.10
1675,0.25
1676,0.22
1680,0.17
1682,0.20
1685,0.05
1687,0.06
1693,0.04
1697,0.15
1700,0.20
1702,0.62
1708,0.50
1713,0.02
1715,0.07
1717,0.58
1718,0.07
1722,0.29
1723,0.20
1725,0.21
1730,0.38
1732,0.23
34501,0.15
34502,1.00
1735,0.02
1736,0.33
1738,0.13
1740,0.50
1742,0.07
1744,0.50
34514,0.80
1749,0.59
1750,0.04
1751,0.11
1752,0.50
1754,0.05
1755,0.08
1756,0.25
1757,0.50
1763,0.09
1767,0.02
1771,0.50
1772,0.06
1775,0.22
1776,0.04
1778,0.36
1779,0.33
1784,0.08
1786,0.11
1789,0.33
1791,0.23
1793,0.30
1794,0.02
1798,0.18
1801,1.00
1803,0.18
1805,0.06
1806,0.18
1807,0.05
1808,0.11
1809,0.07
1810,0.04
1812,0.03
1820,0.36
1821,0.10
1827,0.50
1829,0.60
1830,0.07
1831,0.22
34602,0.15
1837,0.01
1839,0.02
34608,0.18
1841,0.30
1842,0.10
34612,1.00
34615,0.15
1848,0.39
1851,0.18
1853,0.03
1855,0.18
1860,0.03
1864,0.17
1865,0.32
1866,0.03
1872,0.12
1874,0.33
1876,0.07
1878,0.40
1880,0.08
1881,0.29
1884,0.25
1886,0.25
1888,0.45
1891,0.50
1892,0.05
1893,0.45
1896,0.33
1898,0.38
1905,0.09
1913,0.03
1915,0.29
1916,0.06
1921,0.14
1923,0.09
1925,0.40
1926,0.07
1927,0.11
1929,0.11
1931,0.08
34700,1.00
34702,0.29
1936,0.01
1939,0.12
1941,0.10
1943,0.01
1944,0.50
1945,0.23
1947,0.12
1948,0.24
1950,0.04
1951,0.06
1954,0.06
1959,0.02
1962,0.44
1963,0.08
1968,0.07
1971,0.08
1975,0.23
1978,0.10
1984,0.25
1989,0.18
1993,0.19
1998,0.03
1999,0.05
2002,0.07
2003,0.10
33102,0.33
2007,0.11
2010,0.70
2014,0.25
2016,0.13
2017,0.33
2020,0.01
2022,0.04
2025,0.25
2028,0.50
2030,0.33
34802,0.04
2035,0.33
2036,0.11
2037,0.33
34808,0.16
2046,0.00
34815,0.15
2050,0.03
2051,0.02
2053,0.50
2055,0.50
2062,0.25
2067,0.04
2069,0.05
2070,0.22
2071,0.20
2074,0.05
2075,0.13
33114,1.00
2080,0.12
2081,0.11
2087,0.17
2089,0.04
2091,0.25
2092,0.06
2094,0.03
2099,0.06
2100,0.80
2104,0.08
2106,0.06
2107,0.15
2109,0.05
2112,0.02
2113,0.50
2119,0.13
2120,0.05
2121,1.00
2122,0.50
2127,0.08
2128,0.03
2130,0.10
34900,0.50
2136,0.64
2138,0.25
34908,0.11
2142,0.09
2143,0.12
2144,0.14
2145,0.05
2146,0.00
2150,0.50
2157,0.17
2164,0.34
2166,0.20
2168,0.33
2169,0.33
2172,0.50
2177,0.22
2180,0.05
2181,0.25
2186,0.21
2187,0.60
2195,0.09
2196,0.01
2198,0.02
2202,0.20
2203,0.07
2206,0.03
2207,0.12
2208,0.50
2213,0.20
2215,0.04
2217,0.20
2219,0.20
2222,0.14
2224,0.18
2225,0.21
2226,0.25
2227,0.10
2232,0.06
2233,0.05
35004,0.00
2237,0.12
35006,1.00
2240,0.25
2241,0.10
2244,0.12
2247,0.09
2252,0.33
2257,0.18
2259,0.10
2262,0.15
2264,0.20
2267,0.05
2268,0.30
2269,0.03
2277,0.00
2279,0.33
2281,0.05
2285,0.02
2287,0.11
2288,0.33
2290,0.50
2296,0.25
2301,0.06
2305,0.03
2306,0.03
2308,0.02
2310,0.50
2311,0.33
2313,0.09
2314,0.32
2315,0.20
2319,0.27
2320,0.15
2321,0.06
2322,0.05
2331,0.30
2333,0.02
2334,0.03
2335,1.00
35105,1.00
2338,0.02
2339,0.21
35108,0.17
2342,0.21
2345,0.30
35114,0.52
2347,0.09
2352,0.15
2361,0.10
2363,0.22
2365,0.03
2366,0.50
2368,0.33
2369,0.10
2371,0.14
2372,0.03
2374,0.14
2381,0.20
2382,0.04
2390,0.62
2394,0.09
2399,0.17
2400,0.04
2403,0.21
2404,0.13
2408,0.12
2414,0.09
5536,0.22
2420,0.00
2422,0.19
2423,0.02
2430,0.05
2432,0.08
2433,0.19
2434,0.03
2435,0.03
35204,0.01
2437,0.04
2438,0.14
35208,0.07
2441,0.72
2442,0.09
35211,0.23
35212,0.83
2445,0.50
35215,0.33
2450,0.29
2452,0.03
2454,0.24
2456,0.05
2458,0.22
2460,0.08
2461,0.14
2463,0.26
2469,0.06
2472,0.09
2479,0.03
2487,0.12
2488,0.21
2490,0.25
2491,0.31
2496,0.05
2498,0.10
2503,0.30
2504,0.08
2505,1.00
2510,0.17
2519,0.04
2520,0.32
33909,0.25
2531,0.11
2532,0.02
35301,0.15
35302,1.00
35303,1.00
35305,0.17
2543,0.20
2545,0.08
2549,0.15
2550,0.04
2552,0.50
2554,0.12
2558,0.02
2559,0.28
2560,0.09
2561,0.12
2566,0.12
2567,0.04
2568,0.08
2574,0.04
2576,0.15
2577,0.33
2582,0.10
2583,0.33
2585,0.06
2586,0.07
2587,0.25
2589,0.17
2592,0.11
2593,0.21
2594,0.09
2595,0.02
2596,0.29
2597,0.12
2598,0.06
33201,0.15
2602,0.22
33202,1.00
2606,0.50
2609,0.09
2610,0.23
2613,0.40
2614,0.33
2615,0.13
2616,0.12
2619,0.27
2620,0.10
2622,0.07
2625,0.70
2629,0.08
35402,0.27
2635,0.42
35404,0.50
2637,0.50
35410,0.52
2645,0.24
2646,0.17
33209,0.15
2652,0.04
2653,0.33
2655,0.41
2656,0.23
2658,0.33
2659,0.06
2660,0.01
2661,0.03
2662,0.07
2665,0.10
2667,0.11
2668,0.06
2671,0.50
2673,0.04
2675,0.72
2676,0.11
2678,0.20
2679,0.07
2681,0.04
2682,0.09
33215,0.15
2685,0.25
2691,0.04
2693,0.03
2696,0.08
2701,0.20
2702,0.10
2703,0.09
2705,0.43
2707,0.12
2709,0.00
2712,0.00
2714,0.12
2722,0.43
2723,0.12
2726,0.11
2731,0.30
35500,0.77
2735,0.04
2736,0.14
35505,0.39
2738,0.03
35511,1.00
35512,0.25
2746,1.00
35515,1.00
2749,0.06
2754,0.12
2756,0.08
2757,0.07
2762,0.03
2765,0.33
2772,0.08
2774,0.09
2779,0.50
2780,0.03
2781,0.07
2783,0.05
2784,0.06
2786,0.07
2804,0.01
2811,0.05
2813,0.06
2823,0.23
2825,0.33
2827,0.11
2828,0.22
35600,0.09
35601,0.15
2834,0.17
35603,0.09
2837,0.06
35606,0.05
2839,0.25
2842,0.08
35612,0.31
35613,0.02
2847,0.33
2848,0.43
2852,0.04
