mid,get_then_use_coupon
8195,0.90
4,0.57
5,0.04
13,0.30
15,0.08
17,0.03
18,0.06
8211,0.00
8212,0.26
8216,0.09
25,0.09
8218,0.20
8219,0.25
8223,0.06
8225,0.14
8226,0.09
35,0.01
8228,0.12
8230,0.20
8232,0.11
42,0.03
8236,0.14
8239,0.10
48,0.04
50,0.22
8244,0.13
8245,0.14
8246,0.35
55,0.06
58,0.04
8252,0.25
61,0.12
8254,0.03
8258,0.09
8259,0.06
8261,0.40
8263,0.27
8265,0.07
74,0.18
75,0.10
76,0.02
8269,0.07
79,0.14
8274,0.04
85,0.25
86,0.06
87,0.01
8282,0.05
92,0.12
93,0.11
94,0.07
96,0.01
8292,0.17
8209,0.11
105,0.08
8299,0.70
110,0.12
8304,0.07
8305,0.01
19,0.07
8309,0.06
8310,0.03
8313,0.17
122,0.03
125,0.04
128,0.25
8321,0.42
132,0.03
133,0.19
8330,0.03
140,0.33
8334,0.25
143,0.17
8337,0.10
146,0.19
8339,0.38
150,0.01
8217,0.06
8347,0.60
157,0.16
160,0.40
8353,0.20
165,0.07
8359,0.05
171,0.07
8364,0.24
173,0.15
8366,0.04
175,0.05
176,0.60
8370,0.22
179,0.07
8375,0.04
8377,0.08
187,0.03
8384,0.12
8385,0.14
8386,0.00
8388,0.25
8390,0.06
8391,0.11
200,0.44
8394,0.09
8396,0.01
207,0.03
208,0.02
209,0.02
8402,0.16
212,0.11
8405,0.05
8406,0.20
216,0.70
36,0.30
218,0.02
221,0.50
222,0.20
223,0.30
8418,0.12
8419,0.30
8421,0.04
8422,0.03
8423,0.30
8424,0.40
8429,0.12
8431,0.50
8433,0.15
8435,0.30
246,0.11
8441,0.14
259,0.12
262,0.08
8456,0.12
266,0.09
8461,0.14
8462,0.08
8463,0.20
273,0.05
8466,0.01
8469,0.60
8473,0.04
8475,0.29
8476,0.03
286,0.02
8479,0.02
288,0.01
289,0.11
8486,0.10
8493,0.10
303,0.16
304,0.11
307,0.09
8500,0.13
8502,0.08
8506,0.09
316,0.40
317,0.44
8510,0.06
324,0.22
8520,0.14
330,0.11
8523,0.25
334,0.33
